movieId,score,rating,title,genre,genre_rating,category
1,215,3.9209302325581397,Toy Story (1995),Adventure,3.215229808197848,11
2,110,3.4318181818181817,Jumanji (1995),Adventure,3.215229808197848,30
8,8,2.875,Tom and Huck (1995),Adventure,3.215229808197848,99
10,132,3.496212121212121,GoldenEye (1995),Adventure,3.215229808197848,39
13,8,3.125,Balto (1995),Adventure,3.215229808197848,56
15,13,3.0,Cutthroat Island (1995),Adventure,3.215229808197848,64
29,38,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure,3.215229808197848,4
44,46,2.5434782608695654,Mortal Kombat (1995),Adventure,3.215229808197848,59
53,2,5.0,Lamerica (1994),Adventure,3.215229808197848,89
60,34,3.235294117647059,"Indian in the Cupboard, The (1995)",Adventure,3.215229808197848,28
86,15,3.966666666666667,White Squall (1996),Adventure,3.215229808197848,60
95,84,3.0238095238095237,Broken Arrow (1996),Adventure,3.215229808197848,95
101,23,3.782608695652174,Bottle Rocket (1996),Adventure,3.215229808197848,7
107,26,3.326923076923077,Muppet Treasure Island (1996),Adventure,3.215229808197848,78
112,46,3.5434782608695654,Rumble in the Bronx (Hont faan kui) (1995),Adventure,3.215229808197848,59
126,7,2.0,"NeverEnding Story III, The (1994)",Adventure,3.215229808197848,19
146,3,3.3333333333333335,"Amazing Panda Adventure, The (1995)",Adventure,3.215229808197848,88
150,201,3.845771144278607,Apollo 13 (1995),Adventure,3.215229808197848,31
153,137,2.9160583941605838,Batman Forever (1995),Adventure,3.215229808197848,46
155,6,2.4166666666666665,Beyond Rangoon (1995),Adventure,3.215229808197848,71
158,62,2.806451612903226,Casper (1995),Adventure,3.215229808197848,75
160,57,2.8771929824561404,Congo (1995),Adventure,3.215229808197848,72
169,10,2.4,Free Willy 2: The Adventure Home (1995),Adventure,3.215229808197848,80
170,35,3.2285714285714286,Hackers (1995),Adventure,3.215229808197848,52
208,115,2.9130434782608696,Waterworld (1995),Adventure,3.215229808197848,63
212,3,3.0,Bushwhacked (1995),Adventure,3.215229808197848,88
231,133,3.0601503759398496,Dumb & Dumber (Dumb and Dumber) (1994),Adventure,3.215229808197848,46
238,2,4.0,Far From Home: The Adventures of Yellow Dog (1995),Adventure,3.215229808197848,40
258,10,2.6,"Kid in King Arthur's Court, A (1995)",Adventure,3.215229808197848,80
260,251,4.231075697211155,Star Wars: Episode IV - A New Hope (1977),Adventure,3.215229808197848,54
316,140,3.375,Stargate (1994),Adventure,3.215229808197848,26
329,108,3.3935185185185186,Star Trek: Generations (1994),Adventure,3.215229808197848,30
340,5,3.4,"War, The (1994)",Adventure,3.215229808197848,92
362,34,3.5294117647058822,"Jungle Book, The (1994)",Adventure,3.215229808197848,28
364,172,3.941860465116279,"Lion King, The (1994)",Adventure,3.215229808197848,66
368,74,3.5,Maverick (1994),Adventure,3.215229808197848,1
380,178,3.497191011235955,True Lies (1994),Adventure,3.215229808197848,41
393,10,2.5,Street Fighter (1994),Adventure,3.215229808197848,80
421,12,3.2083333333333335,Black Beauty (1994),Adventure,3.215229808197848,42
432,55,2.6454545454545455,City Slickers II: The Legend of Curly's Gold (1994),Adventure,3.215229808197848,9
434,101,3.0346534653465347,Cliffhanger (1993),Adventure,3.215229808197848,43
442,81,3.0925925925925926,Demolition Man (1993),Adventure,3.215229808197848,25
455,37,2.391891891891892,Free Willy (1993),Adventure,3.215229808197848,4
459,6,2.25,"Getaway, The (1994)",Adventure,3.215229808197848,71
464,10,2.9,Hard Target (1993),Adventure,3.215229808197848,80
480,238,3.75,Jurassic Park (1993),Adventure,3.215229808197848,29
484,2,3.0,Lassie (1994),Adventure,3.215229808197848,85
485,53,2.9339622641509435,Last Action Hero (1993),Adventure,3.215229808197848,74
494,41,3.3780487804878048,Executive Decision (1996),Adventure,3.215229808197848,49
533,18,2.888888888888889,"Shadow, The (1994)",Adventure,3.215229808197848,44
546,21,2.0,Super Mario Bros. (1993),Adventure,3.215229808197848,82
547,2,3.25,Surviving the Game (1994),Adventure,3.215229808197848,85
552,61,3.262295081967213,"Three Musketeers, The (1993)",Adventure,3.215229808197848,75
558,8,2.9375,"Pagemaster, The (1994)",Adventure,3.215229808197848,99
577,4,2.125,Andre (1994),Adventure,3.215229808197848,81
588,183,3.7923497267759565,Aladdin (1992),Adventure,3.215229808197848,70
590,164,3.8353658536585367,Dances with Wolves (1990),Adventure,3.215229808197848,23
599,11,3.8181818181818183,"Wild Bunch, The (1969)",Adventure,3.215229808197848,0
